[2024-05-01T18:51:39.860+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-01T18:51:39.885+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.895+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.896+0000] {taskinstance.py:2303} INFO - Starting attempt 3 of 8
[2024-05-01T18:51:39.914+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): fetch_and_display_data> on 2024-05-01 18:41:38.401188+00:00
[2024-05-01T18:51:39.923+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1089) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:63} INFO - Started process 1091 to run task
[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'weather_data_pipeline', 'fetch_and_display_data', 'manual__2024-05-01T18:41:38.401188+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/demo.py', '--cfg-path', '/tmp/tmphwdz5xv8']
[2024-05-01T18:51:39.925+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask fetch_and_display_data
[2024-05-01T18:51:39.973+0000] {task_command.py:426} INFO - Running <TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [running]> on host a747c391e266
[2024-05-01T18:51:40.076+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='weather_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_and_display_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-01T18:41:38.401188+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-01T18:41:38.401188+00:00'
[2024-05-01T18:51:40.077+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-01T18:51:40.087+0000] {base.py:84} INFO - Using connection ID 'postgres_default' for task execution.
[2024-05-01T18:51:40.341+0000] {logging_mixin.py:188} INFO -             date       tavg       tmin       tmax        prcp        wdir       wspd         pres
131   2018-05-12  29.600000  25.700000  35.500000    0.000000  111.088274   5.689065  1010.424374
132   2018-05-13  30.300000  25.600000  35.600000    0.000000  111.088274   5.689065  1010.424374
133   2018-05-14  27.800000  22.000063  34.500000    6.100000  111.088274   5.689065  1010.424374
134   2018-05-15  27.900000  24.200000  34.700000    6.100000  111.088274   5.689065  1010.424374
135   2018-05-16  27.600000  22.000063  31.859149   21.600000  111.088274   5.689065  1010.424374
136   2018-05-17  26.700000  24.400000  33.800000    3.600000  111.088274   5.689065  1010.424374
137   2018-05-18  29.100000  23.900000  31.859149    8.540775  111.088274   5.689065  1010.424374
138   2018-05-19  30.600000  24.500000  31.859149    8.540775  111.088274   5.689065  1010.424374
139   2018-05-20  30.100000  26.000000  36.800000    8.540775  111.088274   5.689065  1010.424374
140   2018-05-21  28.600000  22.000063  31.859149    4.800000  111.088274   5.689065  1010.424374
141   2018-05-22  28.900000  22.000063  35.200000   60.200000  111.088274   5.689065  1010.424374
142   2018-05-23  29.300000  22.700000  34.000000    3.300000  111.088274   5.689065  1010.424374
143   2018-05-24  29.400000  25.600000  33.900000    0.000000  111.088274   5.689065  1010.424374
144   2018-05-25  28.900000  22.000063  33.000000    0.000000  111.088274   5.689065  1010.424374
145   2018-05-26  26.600000  23.200000  32.000000   14.000000  111.088274   5.689065  1010.424374
146   2018-05-27  28.300000  24.700000  32.200000    0.000000  111.088274   5.689065  1010.424374
147   2018-05-28  28.600000  24.500000  32.800000    0.500000  111.088274   5.689065  1010.424374
148   2018-05-29  28.300000  22.000063  31.859149   40.600000  111.088274   5.689065  1010.424374
149   2018-05-30  28.700000  23.900000  34.000000    0.300000  111.088274   5.689065  1010.424374
150   2018-05-31  28.200000  22.000063  31.859149    0.000000  111.088274   5.689065  1010.424374
151   2018-06-01  30.700000  24.500000  35.400000    8.540775  111.088274   5.689065  1010.424374
152   2018-06-02  29.600000  22.000063  31.859149    8.540775  111.088274   5.689065  1010.424374
153   2018-06-03  30.000000  25.300000  31.859149    8.540775  111.088274   5.689065  1010.424374
154   2018-06-04  28.900000  22.000063  34.100000   29.200000  111.088274   5.689065  1010.424374
155   2018-06-05  27.900000  24.100000  33.200000   22.600000  111.088274   5.689065  1010.424374
156   2018-06-06  29.000000  24.900000  33.200000    3.300000  111.088274   5.689065  1010.424374
157   2018-06-07  27.300000  25.200000  31.100000   17.800000  111.088274   5.689065  1010.424374
158   2018-06-08  26.400000  22.000063  31.859149  115.100000  111.088274   5.689065  1010.424374
159   2018-06-09  29.000000  23.900000  33.200000   10.400000  111.088274   5.689065  1010.424374
160   2018-06-10  26.900000  25.900000  31.859149   12.200000  111.088274   5.689065  1010.424374
161   2018-06-11  26.300000  23.700000  31.859149   15.000000  111.088274   5.689065  1010.424374
162   2018-06-12  28.200000  25.200000  31.859149    0.800000  111.088274   5.689065  1010.424374
163   2018-06-13  28.600000  22.000063  33.700000    6.600000  111.088274   5.689065  1010.424374
164   2018-06-14  27.500000  24.600000  31.859149   28.700000  111.088274   5.689065  1010.424374
165   2018-06-15  27.200000  22.000063  31.859149   20.600000  111.088274   5.689065  1010.424374
166   2018-06-16  27.400000  24.500000  29.600000    0.000000  111.088274   5.689065  1010.424374
167   2018-06-17  28.600000  25.400000  32.200000    0.000000  111.088274   5.689065  1010.424374
168   2018-06-18  28.800000  26.400000  31.859149    0.300000  111.088274   5.689065  1010.424374
169   2018-06-19  29.100000  26.400000  31.859149    0.000000  111.088274   5.689065  1010.424374
170   2018-06-20  29.900000  26.000000  31.859149    0.000000  111.088274   5.689065  1010.424374
171   2018-06-21  27.400000  22.000063  31.859149   16.800000  111.088274   5.689065  1010.424374
172   2018-06-22  28.600000  23.600000  32.800000   14.700000  111.088274   5.689065  1010.424374
173   2018-06-23  27.200000  25.100000  31.859149   24.100000  111.088274   5.689065  1010.424374
174   2018-06-24  26.600000  24.500000  31.859149    3.800000  111.088274   5.689065  1010.424374
175   2018-06-25  26.600000  22.000063  30.600000   43.200000  111.088274   5.689065  1010.424374
176   2018-06-26  26.600000  23.400000  31.859149   25.100000  111.088274   5.689065  1010.424374
177   2018-06-27  26.900000  22.500000  31.300000   40.900000  111.088274   5.689065  1010.424374
178   2018-06-28  28.300000  24.700000  33.100000    1.300000  111.088274   5.689065  1010.424374
179   2018-06-29  26.500000  22.000063  31.859149   19.300000  111.088274   5.689065  1010.424374
180   2018-06-30  29.500000  24.900000  31.859149    0.500000  111.088274   5.689065  1010.424374
181   2018-07-01  30.100000  25.600000  34.300000    8.540775  111.088274   5.689065  1010.424374
182   2018-07-02  29.200000  22.000063  31.859149    0.800000  111.088274   5.689065  1010.424374
183   2018-07-03  29.300000  25.200000  31.859149    6.900000  111.088274   5.689065  1010.424374
184   2018-07-04  30.000000  25.100000  34.700000    2.300000  111.088274   5.689065  1010.424374
185   2018-07-05  29.200000  26.300000  32.000000    8.540775  111.088274   5.689065  1010.424374
186   2018-07-06  28.300000  22.000063  33.200000    3.600000  111.088274   5.689065  1010.424374
187   2018-07-07  26.600000  24.000000  31.859149   25.100000  111.088274   5.689065  1010.424374
188   2018-07-08  25.800000  23.300000  31.859149   78.700000  111.088274   5.689065  1010.424374
189   2018-07-09  26.100000  22.000063  27.600000   55.900000  111.088274   5.689065  1010.424374
190   2018-07-10  27.100000  24.000000  30.200000   21.600000  111.088274   5.689065  1010.424374
